Info 0    [03:50:40.804] Starting TS Server
Info 1    [03:50:40.806] Version: 4.3.5
Info 2    [03:50:40.806] Arguments: /usr/bin/node /home/alicelik/.emacs.d/.local/etc/lsp/npm/typescript/bin/tsserver --logFile /home/alicelik/Documents/project-euler/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/e05d019a7a21527f10252f864bfe805d/tscancellation*
Info 3    [03:50:40.806] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [03:50:40.806] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [03:50:40.817] Search path: /home/alicelik/Documents/project-euler
Info 6    [03:50:40.817] For info: /home/alicelik/Documents/project-euler/multiples-of-3-and-5.js :: No config files found.
Info 7    [03:50:40.820] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [03:50:41.267] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 447.23675699997693ms
Info 9    [03:50:41.268] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [03:50:41.268] 	Files (19)

Info 11   [03:50:41.268] -----------------------------------------------
Info 12   [03:50:50.660] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [03:50:50.668] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 7.847288000397384ms
Info 14   [03:50:50.668] Different program with same set of files:: structureIsReused:: 2
Info 15   [03:50:51.425] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [03:50:51.432] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 7.152085999958217ms
Info 17   [03:50:51.432] Different program with same set of files:: structureIsReused:: 2
Info 18   [03:50:59.967] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [03:50:59.974] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 7.064097999595106ms
Info 20   [03:50:59.974] Different program with same set of files:: structureIsReused:: 2
Info 21   [03:51:00.745] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [03:51:00.752] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 6.9753270000219345ms
Info 23   [03:51:00.752] Different program with same set of files:: structureIsReused:: 2
Info 24   [03:51:00.953] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [03:51:00.969] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 15.364690999500453ms
Info 26   [03:51:00.969] Different program with same set of files:: structureIsReused:: 2
Info 27   [03:51:01.938] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [03:51:01.945] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 6.8899630000814795ms
Info 29   [03:51:01.945] Different program with same set of files:: structureIsReused:: 2
Info 30   [03:51:02.429] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
